year,meeting_number,speaker,speech,party
2017,33,Leif Lahn Jensen (S),"Men jeg tror, ministeren kan se, at luften er helt nede i maven, og jeg er helt rolig – men jeg er heller ikke ansat i Arbejdstilsynet. Det er jo ikke mig, der er usikker på, om jeg er fyret efter 1. januar, eller om jeg ikke er. Nu bliver ministeren ved med at sige, at der blev lavet en aftale i fredags. Jo, men efter i fredags er der jo nogen, der har sagt, at den aftale sikkert ikke holder. Og det er jo det, der er sket efter fredag, der gør mig i tvivl, og det er sikkert også det, der gør alle dem, der er ansat i Arbejdstilsynet, og andre i tvivl, om det, der blev aftalt i fredags med den finanslov, holder stik. For det er der jo nogen i regeringen der ikke mener det gør. Tredje næstformand",S
2019,127,Morten Messerschmidt (DF),"Jeg må indrømme, at jeg synes, at det er meget bekymrende at høre det, hr. Rasmus Stoklund lige har sagt, nemlig at vi kun skal agere i forhold til nye sager. Det kan selvfølgelig godt være, at loven i den måde, den skal formuleres på, ikke skal handle om den konkrete sag alene – den skal også gælde fremadrettet – men jeg synes da, det er fuldstændig afgørende, at vi også løser den konkrete sag. Jeg synes, det er bedrøveligt, at hr. Rasmus Stoklund er endt der, at han er så bange for at løse den konkrete sag, at han kun vil tale om fremadrettede sager. Det, der jo er problemet her – og tak for både den indholdsmæssige og følelsesmæssige del af talen, som jeg syntes var rigtig god – er, at i den konkrete sag står udbetalingen til at ske i løbet af indeværende år, og derfor har vi jo ikke tid til at vente på, at hr. Rasmus Stoklund, og hvem vi ellers har i Socialdemokratiet, så engang til næste år fremsætter et forslag, for så er den konkrete sag ikke løst, som et flertal i Folketinget ønsker. Den fg. formand",DF
2000,91,Sonja Mikkelsen (S),"Først skal jeg sige til hr. Thulesen Dahl, at det er min opfattelse, at vi bør lukke for tvivlen i forhold til den aftale, der er indgået om Færøernes undergrund. Det har for så vidt ikke noget at gøre med, at det ikke kan være fornuftigt at afklare, hvad der egentlig foregik i forbindelse med overdragelsen af undergrunden til Færøernes disposition, og det er jo det, som bl.a. tidligere statsminister Poul Schlüter kan bidrage til. Men det er ikke noget, der for Sodaldemokratiet kan betyde, at vi tvivler på selve aftalen, der blev indgået i 1992, og derfor mener jeg ikke, at det her er at lukke debatten i utide. Til hr. Frank Dahlgaard kan jeg til det første spørgsmål svare klart nej. Det er ikke min opfattelse, at man på Færøerne er kommet til det, man kalder point of no return. Det er ikke min opfattelse, at vi har fået en klar beslutning på Færøerne, og det må også i den sidste ende være det færøske folk, der tager stilling til det spørgsmål. Om samhørigheden: Ja, vi har sandelig heldigvis i Norden en tæt samhørighed med hinanden, men den samhørighed, der er i rigsfællesskabet, er jo noget mere udvidet, kan man godt sige, ikke mindst fordi vi har fælles forvaltning på en række områder, som jo har gjort, at vi også har delt værdierne med hinanden på en noget mere tæt måde. Til hr. Oli Breckmann vil jeg gerne sige, at for mig viser alene det, at landsstyret på den ene side har fremsat et beslutningsforslag i Lagtinget, som fører frem til en suverænitet, og på den anden side har skrevet til statsministeren og bedt om forhandlinger inden for hjemmestyreloven, at der ikke er en fuldstændig entydig opfattelse af, hvad det er for et scenario, vi har foran os. (Kort bemærkning).",S
2017,99,Peter Juel Jensen (V),"Jeg er da meget enig i ordførerens intention med, at de produkter, der eksporteres ud af Danmark, ikke må bruges til undertrykkelse. Men kan Enhedslisten garantere mig, at de produkter, f.eks. overvågningsudstyr, ikke bliver brugt til at afdække eventuelle terrorforsøg mod det saudiske styre eller den saudiske befolkning? Altså, den viden har jeg ikke – det kan godt være, spørgeren har den, men jeg har den ikke. Men der er ingen tvivl om, at i forhold til produkter, der kan misbruges til andre ting end det, de er tiltænkt, bør vi selvfølgelig være meget opmærksomme. Og der er jeg altså skruet sådan sammen, at jeg går efter den store løsning først, og det er EUløsningen. Falder den ikke på plads, må vi se, hvad vi så gør. Første næstformand",V
2024,21,Katrine Robsøe (RV),"Tak for det. Jeg tror, vi er rigtig, rigtig mange i det her samfund, der har mange og meget afgørende historier i vores liv omkring, hvordan Foreningsdanmark har været med til at forme os, vores barndom og ungdom og de fællesskaber, vi er en del af. Samtidig tror jeg også, at rigtig mange af os herinde har hørt rigtig meget om udfordringerne, der er med at få en betalingskonto. Jeg tror også, at rigtig mange af os herinde har hørt fra små erhvervsdrivende eller folk, der gerne ville oprette mindre forretninger, at de har haft svært ved at få lov til det. Når vi taler om, at vi jo gerne vil have så gode rammevilkår for at oprette virksomheder som overhovedet muligt, særlig også ude i de områder, hvor der er lidt længere mellem husene, og hvis vi gerne vil sørge for at understøtte det foreningsliv, som har været med til at forme så mange af os igennem vores barndom og ungdom, så er det altså nødvendigt, at vi også tager et skridt mod at sikre rettigheden til en basal betalingskonto. Derfor er jeg også rigtig glad for det her lovforslag. Jeg bakker op om nogle af de bekymringer, som andre har fremført, og som jeg håber ministeren i hvert fald også vil komme ind på i sin tale – og også nogle af de udfordringer, der kan være her. Kampen for, at vi rent faktisk får gjort det nemmere for vores foreninger at være derude i Danmark, er jo også først lige begyndt, og det her er i hvert fald et rigtig godt skridt i den rigtige retning, og derfor støtter Radikale Venstre det naturligvis. Fjerde næstformand (Lars",RV
2011,40,Larsen (S),"Den nye regering har det som en virkelig høj prioritet, at vi skal have flere arbejdspladser i Danmark. Derfor har vi prioriteret en kickstart i vores finanslov, og derfor er vi utrolig optaget af lige i øjeblikket at få landet en energiaftale, der vil skaffe tusindvis af nye arbejdspladser i Danmark både nu og i fremtiden. Derfor er det selvfølgelig en kende skuffende at høre, at Venstres svar, hvis man skal tro ordførerens svar til mig, er at forkorte dagpengeperioden, forringe efterlønnen, fastholde folk i fattigdom og så i øvrigt bare håbe på, at det stigende antal arbejdsløse også vil betyde et stigende antal job. Jeg tror ikke på det. Jeg tror, at vi bliver nødt til at være meget mere ambitiøse og målrettet gå ud at skabe nogle arbejdspladser, sådan at vi kan komme det her voksende problem til livs. Jeg må indrømme, at når man ser på tallene, er der heller ikke meget hold i det, fru Ulla Tørnæs står og siger, fordi i de seneste par år har vi i Danmark mistet 180.000 arbejdspladser, og det til trods for, at arbejdsløsheden er steget. Så hvordan en stigende arbejdsløshed skal føre til flere job synes jeg stadig står og blafrer lidt i vinden. Anden næstformand",S
2020,92,Pia Kjærsgaard (DF),"Tak for det. Jo, men jeg kunne omvendt spørge fru Fatma Øktem, om de børn, som man så har talt med, er blevet jublende lykkelige, er blevet hele mennesker, har det rigtig, rigtig godt, efter at der er sket et eller andet med dem. Nej, det tror jeg ikke. Det tror jeg ikke, efter at vi har været igennem det her, og det nu ser ud, som om man kan få lov at ændre de her cifre. Nej, det tror jeg ikke et øjeblik på, ikke et eneste øjeblik, og jeg synes altså, at man som politiker er nødt til at tage stilling fra sag til sag, læse paragrafferne, finde ud af, hvad man mener om tingene, uden hele tiden at blive foreholdt, om man nu kender nogen, der har det på den måde. For så kan vi jo som politikere gå ind i mange, mange forskellige problematikker, og det mener jeg ikke er rimeligt. Første næstformand",DF
2006,43,Allan Niebuhr (KF),"Nej, det tror jeg ikke, og igen henviser jeg til mit første svar. Når man investerer, fordi man tror på fremtiden, fordi man kan se, at der nu er nogle muligheder for en indtjening, så tror jeg ikke på, at det er nødvendigt at være så fantasifuld eller simpelt hen at se bort fra alt, hvad der hedder bæredygtighed, alt, hvad der hedder en fremtidssikring af fiskeriet. Jeg tror på, at de danske fiskere godt er klar over, at hvis de laver fup eller begynder at lave noget udsmid for at skaffe sig bedre fisk, så ødelægger de fremtidens fiskeri. Det tror jeg udmærket de er klar over. Så jeg tror på - og det var også det, jeg sagdeat det er en sund gældsætning, man er i gang med i øjeblikket, fordi det er en gældsætning i en fremtid, som man tror på. Det gør altså en forskel frem for at lave en gældsætning, fordi man er nødt til det, fordi man er trængt, fordi man ikke har andre muligheder for at skaffe sig til dagen og vejen. Nu gør man det, fordi man tror på fremtiden. Derfor er jeg ikke så bange for, at den gældsætning skal føre til noget, som vi ikke ønsker den skal føre til. (Kort bemærkning).",KF
2013,86,Ole Birk Olesen (LA),"Ministeren bliver ved med at sige, at beslutningsforslaget vil pålægge regeringen at gennemføre en praksis i Danmark, som er i strid med EUlovgivningen, men det er jo ikke rigtigt. Beslutningsforslaget pålægger regeringen at bringe praksis i overensstemmelse med dansk lovgivning, og man siger så i øvrigt ikke noget om, at regeringen ikke må bringe dansk lovgivning i overensstemmelse med EUlovgivningen. Det ville da være det mest naturlige. Og det er det, der er så mærkeligt at regeringen ikke har gjort, altså at regeringen har siddet på sine hænder i halvandet år uden at gøre noget som helst, eller var det et halvt år? Nu kom jeg lige i tvivl, men det var i hvert fald i lang tid. Hvorfor gør regeringen sig ikke anstrengelser for at finde et flertal i Folketinget, der vil vedtage en lovgivning, som ifølge regeringen er i overensstemmelse med EUlovgivningen? Hvorfor sidder regeringen kun og forhandler med Venstre og Konservative, samtidig med at regeringen skælder ud på Venstre og Konservative for ikke at være forhandlingsvillige, kompromisvillige osv.? Hvorfor undersøger regeringen f.eks. ikke muligheden for at lave en ny lovgivning sammen med Liberal Alliance og Dansk Folkeparti? Vi fire partier – de to regeringspartier og DF og LA – har jo flertal sammen. Anden næstformand",LA
2003,75,Knud Erik Kirkegaard (KF),"Nu har vi jo en meget livskraftig regering, som jeg da forventer holder i adskillige valgperioder ud over den, vi er inde i, og jeg har helt og fuldt tillid til den nuværende regering til, at de kan administrere en sådan bemyndigelse på en ganske glimrende måde. Anderledes forholder det sig naturligvis, hvis der skulle komme et regeringsskift engang ud i fremtiden, men det bliver så langt fremme i tiden, at det ikke er sikkert, at hr. Klaus Hækkerup og jeg er medlemmer af Folketinget til den tid, men så må nye tiders folketingsmedlemmer tage stilling til, om det vil være forsvarligt at lade en anden regering leve med en sådan bemyndigelse.",KF
2014,93,Orla Hav (S),"Modsat ordføreren for Dansk Folkeparti har vi altså også en erkendelse af, at verden er langt, langt mere mangfoldig end de tre eksempler, der er henvist til, for det er jo oplagte eksempler, som enhver godt kan forholde sig til. Men i alle mellemformerne, alle de eksempler, hvor en SOSUassistent kan komme i klemme ved at have overset, at der er et dyr, som er udsat for vanrøgt, er det jo alvorligt, at man kan havne i en retssag, hvis det er sådan, at man har overset det. Samtidig skal man jo også passe sit arbejde med at tage sig af en borger, hvilket er den primære årsag til, at man kommer i hjemmet. Jeg anerkender, at det er smukt at kere sig om de dyr, vi har i vores nærmiljø, men spørgsmålet om, om man kan lovgive give sig frem til, hvordan folk skal agere på alle leder og kanter, har vi altså ikke en afklaring på med det forslag, der er fremsat her i dag. Derfor kan vi ikke støtte forslaget, men vi er helt med på, at ministeren lader nogle folk kulegrave det her, så borgerne får et ordentligt grundlag at agere på i forhold til lovgivningen. Den fg. formand",S
2021,82,Torsten Gejl (ALT),"Selv tak. Altså, grunden til, at jeg spørger til halekupering af smågrise i dag, er, at 98,5 pct. af danske grise ifølge Dyrenes Beskyttelses tal for 2017 får klippet halerne af. Det er vel at mærke de konventionelle grise og ikke de økologiske grise eller frilandsgrisene, hvor man ser markant færre halebid. Halekupering handler jo om, at man klipper halen af nyfødte grise, når de er mellem 2 og 4 dage gamle. Man gør det for at undgå, at grisene senere i livet bider halerne af hinanden på grund af manglende plads og aktivitetsmuligheder. I den danske svineindustri tillader man, at en gris på helt op til 110 kg lever på 0,65 m2. Tilmed er grisene jo intelligente dyr med kognitive evner som et 3årigt barn og har derfor brug for stimulans. Den beskæftigelse, der tilbydes, har ofte form af en pind spændt fast til væggen, som de kan bide i, mens de står på et betongulv. Pladsmangel og mangel på aktivitet betyder, at de bider halen af hinanden, hvis ikke den bliver klippet af, mens grisene er små. Det udgør dog et meget stort velfærdsproblem, da EU's ekspertorgan EFSA, som består af forskere, vurderer, at den intakte hale hos grise er den bedste velfærdsindikator, der findes.",ALT
2022,59,Morten Messerschmidt (DF),"Den primære årsag til, at Knud den Hellige blev kaldt for hellig, var, at han blev slået ihjel i en kirke. Det var ikke hans levned i almindelighed, der gjorde ham særlig hellig. Og jeg tror, at man kan sige det samme om den her regering, nemlig at det ikke just er dens tilgang til udlændingepolitikken, der gør den særlig frelst i danmarkshistorien. Vores tilgang i Dansk Folkeparti er, at udlændinge for så vidt kan være velkomne, så længe de lader sig assimilere; så længe de tager Danmark til sig i hjerte og i gerning. Og det er jo det, som det her lægger op til. Der er kommet alt for mange ind i Danmark på Socialdemokratiets konto, som er fuldstændig uvillige til at lade sig integrere og i øvrigt heller ikke lader sig integrere på arbejdsmarkedet. Så hvorfor ikke blot sige, at det selvfølgelig skal have en pris at få fornyet sin opholdstilladelse i Danmark, sådan at vi sikrer, at dem, der så er i Danmark, er dem, der bidrager til fællesskabet og tjener penge nok til at kunne betale den her afgift, hvorimod de, der ikke kan det, nu får et incitament til at rejse ud, altså et incitament, som det indtil videre har været fuldstændig fremmed for Socialdemokratiet at skabe?",DF
2018,53,Nielsen (SF),"Tak. Jeg bemærkede, at Venstres ordfører i sin tale lagde stor vægt på, at han er rundet af højskolebevægelsen, og at det betød meget for ham i den her debat. Det er jeg også selv, så vi har måske dér en fælles reference, vi kan diskutere ud fra. Er det ikke korrekt, at noget af det, der er karakteristisk ved den højskolebevægelse, er manglen på fanatisme? Det er en form for tolerance og forståelse af, at der ikke findes nogen entydig sandhed om noget som helst. Derfor forstår jeg også godt, at Venstres ordfører tager meget kraftigt afstand fra islamismen, som jo netop er alt det modsatte af det, som han står for, men vil han ikke medgive, at når man hører på Dansk Folkeparti, så er der en fanatisme, en mangel på tolerance, en måde at diskutere på, som er fuldstændig i modstrid med det, som ordførerens grundlag skulle være? Første næstformand",SF
2021,64,Lars Boje Mathiesen (NB),"Der tager ordføreren lidt fejl. Det her er ikke noget, der er groet i vores have. Vi så generelt hellere, at man bare sænkede skatteniveauet, så det her fradrag er ikke noget, der er groet i Nye Borgerliges have. Men realiteten er, er der er en masse børnefamilier, som nu får langt sværere ved at betale nogle massive regninger, som man i de kommende år – kommunerne er jo lige begyndt på det her – vil påføre dem. Så spørger jeg bare helt konkret: Hvad har SF i posen af tiltag, som skal hjælpe de her børnefamilier, som måske ikke har 50.000 kr. til at betale for det krav, som nu kommer i forbindelse med kloakseparering? Jeg spørger bare helt konkret, om man har noget i posen til at hjælpe dem. SF siger, at man gerne vil hjælpe børnefamilierne, og så spørger jeg bare: Hvordan vil man så hjælpe dem, når man nu har fjernet det her fradrag, som rent faktisk hjalp til at kunne betale den regning? Anden næstformand",NB
2006,87,Lars Barfoed (KF),"Nu flyver der jo dagligt mange flyvemaskiner rundt om kloden, og vi kan jo ikke, hver gang nogen har en beskyldning om, at USA eller for den sags skyld andre magter i strid med internationale regler skulle have transporteret fanger på disse fly, give os til at iværksætte store undersøgelser af det. Det afgørende må være, at der ikke efter regeringens vurdering har været grundlag for at foretage en nærmere undersøgelse, og sagen har været debatteret her i Folketingssalen. Der er ikke nogen grund til at gå videre med sagen, der er ingen grund til at undersøge det, for så kunne man undersøge så mange andre flyvninger og løse påstande, der hele tiden dukker op. Så kunne man snart ikke bestille andet. (Kort bemærkning).",KF
2007,8,Miljøministeren (Troels Lund Poulsen),"I forhold til spørgsmålet om ressourcer er det jo sådan, at al den lovgivning, vi vedtager her i Folketinget, tager afsæt i, at politiet skal håndhæve den. Og hvordan sikrer vi så, at der sker en håndhævelse af den lovgivning, der bliver vedtaget? Det gør vi ved, at der, når det her lovforslag måtte blive vedtaget, sammen med Rigsadvokaten bliver udarbejdet en vejledning til politiet om, hvordan de skal håndhæve den lovgivning, der ligger. Det betyder ikke, at der kommer flere politibetjente, men det betyder, som jeg også sagde i min tale, at der kommer langt større klarhed om, hvordan politiet skal håndtere det at udskrive bøder. På spørgsmålet om, hvor mange bøder der er givet i 2006, tror jeg, at det vil være fornuftigt, at jeg vender tilbage med et skriftligt svar, og jeg vil måske tilbyde, at vi ser det over en lidt længere årrække, sådan at vi kan se på, hvordan udviklingen har været f.eks. igennem de sidste 5 år. Men der kommer selvfølgelig et svar på spørgsmålet om 2006. Det sidste spørgsmål har jeg netop glemt, og spørgeren må lige vende tilbage til det.",V
2021,28,Henrik Dahl (LA),"Tak for talen. Jeg vil først sige som en serviceoplysning, at forslaget ikke er en ordret oversættelse af Chicagoprincipperne. Det er allerede en dansk tilpasning, så det er der taget hånd om. Men det, jeg gerne vil spørge om, er jo det med grundloven, for jeg synes, at hr. Stinus Lindgreen har den samme lidt usikre forståelse af grundloven som fru Astrid Carøe. Grundloven er jo ikke sådan en lov, som borgerne skal overholde. Den paragraf, som vi taler om, er noget, som vi skal garantere borgerne, og spørgsmålet er jo, om det er garanteret godt nok, og der vil jeg gerne gå tilbage til fru Birgitte Bergmans spørgsmål. For det er jo ganske rigtigt, at Justitia var meget kritiske over for de her ordensregler, men nedenunder dem er der jo Arbejdstilsynets regler, som stadig væk gælder, og hvor en krænkelse er subjektiv. Så hvis det, Justitia egentlig siger, er, at Arbejdstilsynets regler, som enhver kan påkalde sig på Københavns Universitet, er en indskrænkning af ytringsfriheden, garanterer vi, så længe vi har de regler, så ytringsfriheden, som er en grundlovssikret ret, godt nok? Første næstformand",LA
2014,57,Marlene Borst Hansen (RV),"Intentionen i det her beslutningsforslag fra SF er vi fra radikal side helt enige i. Det har i mange år været en mærkesag for Radikale Venstre – det er det for øvrigt stadig væk – at offentlige myndigheder og personale bliver langt bedre til at inddrage pårørende og de pårørendes ressourcer i erkendelse af, at meget få mennesker lever som øde øer. De fleste af os lever i familienetværk, og derfor er det også en hel familie, som rammes, når et af medlemmerne bliver syge. Særligt børn er naturligvis udsatte. Det er svært for et barn at håndtere sorg, angst og usikkerhed, og derfor har alle børn, som har en mor eller far, der får en alvorlig sygdom, brug for hjælp og støtte. Nogle gange er der ressourcer i familien eller netværket til selv at håndtere situationen, andre gange har man brug for hjælp og støtte fra enten det offentlige eller fra en af de mange patientorganisationer, hvoraf rigtig mange har gode tilbud til pårørende og også til børnene. Men kan vi gøre det bedre og skal vi gøre det bedre? Ja, det kan vi, og ja, det skal vi, og det gør vi. Vi har netop afsat 300 mio. kr. i regeringens sundhedsudspil til, at sundhedsvæsenet inddrager patienterne og deres pårørende noget mere. Det er et udspil, som Enhedslisten og SF sammen med regeringen fandt pengene til i finanslovsforhandlingerne her i efteråret. Så vi er enige med SF i, at der skulle findes ekstra penge, og derfor virker det også lidt underligt, at SF her, få måneder efter at finansloven er vedtaget, kommer og foreslår flere penge til et område, som vi har en aftale om, og som vi kun lige er begyndt at udmønte. Lad os stå sammen om at få den udmøntning gjort allerallerbedst til gavn for børnene. Det synes jeg at vi skal indgå i nogle gode forhandlinger om. Derfor kan Radikale Venstre ikke støtte beslutningsforslaget. Anden næstformand",RV
2001,56,Morten Homann (SF),"Jeg er da på SF's vegne glad for de aftaler, der blev lavet om bl.a. fordelingen af UMTSmidler- ne, selv om man kan diskutere, om ambitionsniveauet ikke burde være højere. Men jeg kunne godt tænke mig i forlængelse af ministerens svar til fru Lene Jensen at få uddybet, hvordan regeringens prioriteringer ligger. Nu blev årstallet 2010 nævnt, men det er jo også kendt, at regeringen har en ambition om at fastholde et skattestop og angiveligt også gennemføre skattelettelser i år 2004. Vil ministeren oplyse, hvordan regeringen påtænker at finde midler til at øge investeringerne i forskningen, og hvordan man vil prioritere i forbindelse med at gå fra et skattestop til egentlige skattenedsættelser? Hvilken af de to prioriteringer skal komme først? (638) (Spm) 5097",SF
2008,36,Per Clausen (EL),"Ja, derude, hvor jeg kommer fra, i det mørke Jylland, er der sikkert plads til biler også i fremtiden. Men realiteten er jo, hvis vi tager områderne omkring de større byer, at der er et trængselsproblem, som ikke løses ved brug af private elbiler, men som kræver nogle kollektive løsninger, som også gerne skulle være ved hjælp af el. Men jeg vil godt lige spørge om to.ting. Den ene er, om klimaministeren ikke er enig med mig i, at det er et problem, at man kan se, at mens man har den her ambitiøse plan, går en stor del af den kollektive trafik, én betydningsfuld del af den kollektive trafik, nemlig hele bus2366 (US 42) driften, i retning af at ligge i ruiner. Den anden ting, jeg godt vil spørge om, er: Skal jeg forstå det, ministeren siger om elbiler, som jeg er helt enig i er en meget, meget interessant og spændende ting, på den måde, at regeringen mener, at man kan opretholde afgiftsfritagelse for elbiler f.eks. frem til år 2020 og finansiere det ved hjælp af at hæve afgifterne på andre biler?",EL
2016,95,Rasmus Prehn (S),"Jamen så mange tak til den fungerende sundhedsminister, som jeg synes har givet et meget kvalificeret og fyldestgørende svar på det her ellers komplicerede spørgsmål – mange tak for det. Jeg synes nu alligevel, at det kunne være rart, hvis ministeren – også i sin mere generelle funktion som medlem af en regering – kunne give udtryk for, at hun gerne på interne regeringsmøder vil opfordre til, at man er opmærksom på den her problemstilling, og at man arbejder i retning af, at regionerne får nogle muskler på det her område. For det er altså en meget ulykkelig situation for folk, hvis de står derude, og der ikke er mulighed for at få en læge, eller hvis de egentlig har fået en læge, at der så er både 3 og 4 ugers ventetid til at komme til en vigtig undersøgelse. Altså, der er jo sygdomme, der kan få lov til at udvikle sig katastrofalt på den tid, så vi skal altså have taget fat på det. Anden næstformand",S
2006,59,Jesper Langballe (DF),"Efter det sidste replikskifte kan jeg ikke rigtig dy mig, fordi nu er jeg lidt forvirret. Fru Birthe Rønn Hornbech siger, at blasfemiparagraffen har med religiøse følelser at gøre, men religiøse følelser har ikke noget med kristendommen at gøre. Undskyld, men hvad har religiøse følelser så med at gøre? Vil det sige, at det simpelt hen er følelser i al almindelighed, der ikke må krænkes, og at det har ikke noget at gøre med den eller de konkrete religioner? Religiøse følelser er sådan en niche, der står helt for sig selv. Skulle man så ikke hellere sige, at man slet ikke må krænke nogens følelser, af hvilken art de end er? Og tror fru Birthe Rønn Hornbech ikke, at det ville betyde, at vi kom vidt omkring, og at det faktisk blev umuligt at sige noget som helst? (Kort bemærkning).",DF
2017,3,Mette Frederiksen (S),"Jeg vil gerne sige meget direkte, at jeg mener, det er økonomisk uansvarligt, at regeringen på et tidspunkt, hvor vi mangler arbejdskraft, og hvor vi mangler unge, der tager uddannelse, vælger at spare på uddannelse og give skattelettelser. Det synes jeg er økonomisk uansvarligt. Nu har jeg ikke haft lejlighed til at se det konkrete svar. Hvis det er den samme gamle smøre om, at uddannelse trækker folk ud af arbejdsstyrken, bliver jeg nødt til at give det samme, velkendte socialdemokratiske svar, nemlig at jeg hellere vil investere i at give mennesker et stærkere fundament at stå på, end at jeg vil lave en umiddelbar udvidelse af arbejdsstyrken.",S
2014,77,Flemming Damgaard Larsen (V),"Mener ministeren ikke, at det er helt urimeligt, at de stramme danske gødningsregler betyder, at der de seneste år har været et fald i proteinindholdet i vårbyg, således at det til stadighed bliver vanskeligere at producere dansk øl på danske kornprodukter?",V
2006,91,Hans Kristian Skibby (DF),"Jeg ved ikke, hvor meget vi skal bruge ordet fiasko i den her sag. Det ville jo være en form for karaktergivning, og der tvivler jeg da ikke på, at Socialdemokraterne og De Radikale og andre partier ikke vil give lige så høj en karakter for det her. som de partier, der har stået bag den her indsats, som har været, og som er pågået i Irak gennem de mange år, vi har været der. Men jeg mener ikke, at man kan tage en diskussion om, hvorvidt det har været en ulovlig krig eller en lovlig krig, om den har været baseret på løgne eller på rygter osv., for jeg mener, at det er så langt væk fra virkeligheden. Vi behøver bare, som jeg siger, at kigge i de FNresolutioner, der ligger mange, mange år tilbage, og som ingen refleksion eller reaktion medførte fra det daværende regime i Irak. Derfor synes jegdet er så min egen holdning, oven i købet ikke kun partiets, men vores alle sammens holdningat det var, som om de demokratiske grundregler var udtømte. Der var ikke flere muligheder. Vi havde ikke flere ting i værktøjskassen, som hr. Jens Hald Madsen var inde på. Derfor var vi nødt til at gøre noget ved sagen. Dét betød selvfølgelig også, at der ville være en væbnet konflikt. (Kort bemærkning).",DF
2019,128,Justitsministeren (Nick Hækkerup),"Uden at jeg vil blive beskyldt for at svare udenom eller svare for fluffy synes jeg, det er noget af det, der skal ses på. Det besnærende ved at give nogle rettigheder er, at så ved børnene, hvad de har at rette sig efter. Det, som jeg ikke kan overskue på stående fod, og grunden til, at jeg svarer sådan, er, at der måske kan være nogle modgående hensyn, hvor man bliver nødt til så at sige, at i nogle situationer kan rettighederne ikke opretholdes, og hvad er en rettighed værd, hvis den ikke kan opretholdes. Men tanken om at sige, at når man er barn og en af ens forældre sidder i fængsel, så skal man have sikret en eller anden form for kontakt, synes jeg som udgangspunkt er rigtig.",S
2003,57,Miljøministeren (Hans Christian Schmidt),"Jeg vil bare sige til fru Elsebeth Gerner Nielsen, at det er en helt forkert konklusion at komme frem til. De planter, som vi taler om, som folk skal bruge, er jo plantet. Det er det, der er problemet. Det er derfor, man får nogle kassationsprocenter for indkøberne, der står for de her ting. Jeg vil bare sige til fru Elsebeth Gerner Nielsen, at jeg var ikke gået ind og havde kigget på det her, hvis jeg ikke havde en tro på, at det kan betale sig at gå ind og sige til folk: Vi vil godt prøve at hjælpe jer med det her. Det eneste, jeg må bede om, er, at de partier, som ikke er enige i det forslag til vedtagelse, der ligger fra de tre partier, Venstre, De Konservative og Dansk Folkeparti, ikke forsøger at rådgive ministeren til at komme i uføre ved at begynde at lave beslutninger og aftaler, som vi laver med hinanden, og så må man bagefter se, om det er noget, der juridisk kan holde. Jeg tror, at den gode måde at gøre det på, er den, som man altid har brugt, nemlig gå ind og finde ud af, om en principaftale er god nok til, at man kan sætte staten i en investeringsudgift. Er den det, så gør vi det. Jeg tror faktisk, at der er en chance her, og den er vi villige til at prøve at efterleve.",V
2020,100,Forsvarsministeren (Trine Bramsen),"Jamen med det trusselsbillede, som vi ser i dag, har jeg bestemt ikke nogen forventning om, at vi kommer til at bruge færre penge. Og som jeg også sagde, arbejder vi hen mod Walesmålsætningen, og det er jo at bruge flere penge på vores forsvar i den kommende tid. Jeg mener også, det er det rigtige at gøre med det trusselsbillede, som vi ser. Men det må jo bero på en konkret drøftelse. Lige nu er der iværksat et sikkerhedspolitisk arbejde, der kortlægger de trusler, der er, og på den baggrund skal de forskellige myndigheder inden for Forsvarsministeriets område jo pege på, hvad det så er for kapaciteter, der skal til. Og jeg mener, at det skal være udgangspunktet for et kommende forlig. Første næstformand",S
2006,71,Jytte Wittrock (S),"O.k., vi lader den ligge der. Vi vender nok tilbage til det, vil jeg tro. Så er der et andet spørgsmål. Det er i forbindelse med, at finansministeren selv sagde, at det er vigtigt, at faggrupperne beskæftiger sig med det, de er ansat til. Nu har jeg en fortid i amtsrådssammenhæng og i sygehusudvalget, og det, vi opdagede i slutningen af 1980'erne, var faktisk, at sygeplejerskerne kun var beskæftiget med patienterne i 25 pet. af tiden. Der var et par forklaringer på, hvorfor det var sådan. Men er det rimeligt, at det er regeringen og os i Folketinget, der centralt pålægger de arbejdsgrupper nogle opgaver, som i hvert fald er på grænsen til det, de er ansat til, og som tager fokus fra den virkelige opgave? Dem flytter vi til en masse administrativtundskyld mig, jeg er også folkeskolelærer, så jeg er måske præget af det - og de kommer til at beskæftige sig med noget, som er fuldstændig vanvittigt, i forhold til at det er børnene, der skal tages vare på. Det er 5206 (F 33) ikke et spørgsmål om, at man skal sidde ved et skrivebord og holde fællesmøder med alle mulige. I øvrigt har statsministeren selv sagt, at vi ikke skal sidde i rundkreds. Det her bliver også rundkreds, venner. (Kort bemærkning).",S
